발생시각,규모,깊이(km),위도,경도,발생일,p_arrival_utc,s_arrival_utc
2017-12-03 03:45:48,1.5,11.0,36.09,129.34,2017-12-03,2017-12-02 18:45:52.672021445+00:00,2017-12-02 18:45:54.941314228+00:00
2017-12-02 13:55:51,1.2,9.0,36.09,129.35,2017-12-02,2017-12-02 04:55:55.677015378+00:00,2017-12-02 04:55:57.598265231+00:00
2017-12-02 09:46:52,1.4,9.0,36.14,129.39,2017-12-02,2017-12-02 00:46:56.983309976+00:00,2017-12-02 00:46:58.921940022+00:00
2017-12-02 09:14:52,1.4,11.0,36.1,129.37,2017-12-02,2017-12-02 00:14:57.002601317+00:00,2017-12-02 00:14:59.301004804+00:00
2017-12-02 06:39:40,1.4,9.0,36.1,129.35,2017-12-02,2017-12-01 21:39:44.608726532+00:00,2017-12-01 21:39:46.525761658+00:00
2017-12-02 04:26:54,1.2,10.0,36.08,129.34,2017-12-02,2017-12-01 19:26:58.681201157+00:00,2017-12-01 19:27:00.781006882+00:00
2017-12-01 23:09:54,1.8,5.0,36.09,129.34,2017-12-01,2017-12-01 14:09:58.357893757+00:00,2017-12-01 14:09:59.486657051+00:00
2017-12-01 08:38:13,0.8,8.0,36.11,129.38,2017-12-01,2017-11-30 23:38:17.914682918+00:00,2017-11-30 23:38:19.660724819+00:00
2017-12-01 08:03:26,2.4,7.0,36.1,129.35,2017-12-01,2017-11-30 23:03:30.505000761+00:00,2017-11-30 23:03:32.040875903+00:00
2017-12-01 03:47:43,1.7,8.0,36.14,129.38,2017-12-01,2017-11-30 18:47:47.786512617+00:00,2017-11-30 18:47:49.526956262+00:00
2017-11-30 21:56:24,1.0,5.0,36.13,129.38,2017-11-30,2017-11-30 12:56:28.701328054+00:00,2017-11-30 12:56:29.836617163+00:00
2017-11-30 15:18:19,1.5,8.0,36.13,129.38,2017-11-30,2017-11-30 06:18:23.822007327+00:00,2017-11-30 06:18:25.564032676+00:00
2017-11-30 14:34:21,1.4,,36.13,129.35,2017-11-30,,
2017-11-30 09:27:37,1.5,11.0,36.1,129.37,2017-11-30,2017-11-30 00:27:42.002601317+00:00,2017-11-30 00:27:44.301004804+00:00
2017-11-29 21:12:14,1.4,12.0,36.09,129.33,2017-11-29,2017-11-29 12:12:18.618121693+00:00,2017-11-29 12:12:21.042336609+00:00
2017-11-29 01:33:48,1.4,10.0,36.1,129.34,2017-11-29,2017-11-28 16:33:52.535695934+00:00,2017-11-28 16:33:54.623987345+00:00
2017-11-28 07:14:52,1.1,,36.12,129.36,2017-11-28,,
2017-11-27 08:07:23,1.7,6.0,36.12,129.38,2017-11-27,2017-11-26 23:07:27.779196734+00:00,2017-11-26 23:07:29.123769587+00:00
2017-11-27 06:06:45,1.6,6.0,36.11,129.37,2017-11-27,2017-11-26 21:06:49.685595932+00:00,2017-11-26 21:06:51.027807793+00:00
2017-11-27 03:45:41,1.1,5.0,36.1,129.34,2017-11-27,2017-11-26 18:45:45.284493364+00:00,2017-11-26 18:45:46.411724722+00:00
2017-11-27 03:36:25,1.0,10.0,36.1,129.36,2017-11-27,2017-11-26 18:36:29.804137336+00:00,2017-11-26 18:36:31.913072002+00:00
2017-11-27 02:04:09,0.7,8.0,36.13,129.37,2017-11-27,2017-11-26 17:04:13.677455054+00:00,2017-11-26 17:04:15.412880518+00:00
2017-11-26 18:59:28,1.8,5.0,36.1,129.33,2017-11-26,2017-11-26 09:59:32.144170969+00:00,2017-11-26 09:59:33.268320320+00:00
2017-11-26 13:30:12,1.4,8.0,36.13,129.35,2017-11-26,2017-11-26 04:30:16.390425229+00:00,2017-11-26 04:30:18.111376199+00:00
2017-11-26 07:08:56,1.9,8.0,36.12,129.37,2017-11-26,2017-11-25 22:09:00.721533610+00:00,2017-11-25 22:09:02.459016757+00:00
2017-11-26 00:27:01,1.3,,36.11,129.34,2017-11-26,,
2017-11-25 18:49:52,1.2,11.0,36.11,129.34,2017-11-25,2017-11-25 09:49:56.542428103+00:00,2017-11-25 09:49:58.798468048+00:00
2017-11-25 18:32:22,1.1,10.0,36.12,129.36,2017-11-25,2017-11-25 09:32:26.693779482+00:00,2017-11-25 09:32:28.794543471+00:00
2017-11-25 16:45:41,1.6,11.0,36.14,129.37,2017-11-25,2017-11-25 07:45:45.819010578+00:00,2017-11-25 07:45:48.101801724+00:00
2017-11-25 14:11:29,1.3,8.0,36.12,129.38,2017-11-25,2017-11-25 05:11:33.864794306+00:00,2017-11-25 05:11:35.608693964+00:00
2017-11-25 14:10:41,2.3,8.0,36.11,129.35,2017-11-25,2017-11-25 05:10:45.491900943+00:00,2017-11-25 05:10:47.218194236+00:00
2017-11-25 12:51:11,2.0,8.0,36.1,129.35,2017-11-25,2017-11-25 03:51:15.553896091+00:00,2017-11-25 03:51:17.283328439+00:00
2017-11-25 07:07:20,1.3,5.0,36.13,129.37,2017-11-25,2017-11-24 22:07:24.552874809+00:00,2017-11-24 22:07:25.685465005+00:00
2017-11-25 05:04:07,1.4,7.0,36.14,129.38,2017-11-25,2017-11-24 20:04:11.740053418+00:00,2017-11-24 20:04:13.284503727+00:00
2017-11-25 02:13:15,1.6,7.0,36.09,129.36,2017-11-25,2017-11-24 17:13:19.712498326+00:00,2017-11-24 17:13:21.255989338+00:00
2017-11-25 02:13:14,1.9,7.0,36.1,129.34,2017-11-25,2017-11-24 17:13:18.366324035+00:00,2017-11-24 17:13:19.896687699+00:00
2017-11-25 02:12:25,1.9,6.0,36.13,129.38,2017-11-25,2017-11-24 17:12:29.735622720+00:00,2017-11-24 17:12:31.079108299+00:00
2017-11-25 02:08:12,1.9,9.0,36.14,129.38,2017-11-25,2017-11-24 17:08:16.838672559+00:00,2017-11-24 17:08:18.769389481+00:00
2017-11-24 23:29:15,1.4,6.0,36.1,129.35,2017-11-24,2017-11-24 14:29:19.462235749+00:00,2017-11-24 14:29:20.798404062+00:00
2017-11-24 23:23:10,1.3,7.0,36.11,129.35,2017-11-24,2017-11-24 14:23:14.442313398+00:00,2017-11-24 14:23:15.975741701+00:00
2017-11-24 23:17:08,1.9,5.0,36.1,129.35,2017-11-24,2017-11-24 14:17:12.425778588+00:00,2017-11-24 14:17:13.555912926+00:00
2017-11-24 11:23:45,1.5,,36.11,129.36,2017-11-24,,
2017-11-24 07:26:25,1.3,7.0,36.11,129.37,2017-11-24,2017-11-23 22:26:29.726306459+00:00,2017-11-23 22:26:31.270279634+00:00
2017-11-24 01:17:27,2.3,8.0,36.11,129.35,2017-11-24,2017-11-23 16:17:31.491900943+00:00,2017-11-23 16:17:33.218194236+00:00
2017-11-23 23:27:05,2.3,14.0,36.11,129.37,2017-11-23,2017-11-23 14:27:10.165733524+00:00,2017-11-23 14:27:12.966518851+00:00
2017-11-23 20:18:48,1.5,7.0,36.09,129.35,2017-11-23,2017-11-23 11:18:52.574859963+00:00,2017-11-23 11:18:54.113379477+00:00
2017-11-23 11:35:51,1.5,7.0,36.11,129.37,2017-11-23,2017-11-23 02:35:55.726306459+00:00,2017-11-23 02:35:57.270279634+00:00
2017-11-23 10:31:43,1.7,,36.12,129.37,2017-11-23,,
2017-11-23 09:27:31,1.5,11.0,36.09,129.34,2017-11-23,2017-11-23 00:27:35.672021445+00:00,2017-11-23 00:27:37.941314228+00:00
2017-11-23 08:04:59,1.7,8.0,36.1,129.35,2017-11-23,2017-11-22 23:05:03.553896091+00:00,2017-11-22 23:05:05.283328439+00:00
2017-11-23 03:09:02,1.7,5.0,36.09,129.34,2017-11-23,2017-11-22 18:09:06.357893757+00:00,2017-11-22 18:09:07.486657051+00:00
2017-11-22 22:15:41,2.0,8.0,36.12,129.35,2017-11-22,2017-11-22 13:15:45.437318483+00:00,2017-11-22 13:15:47.160770653+00:00
2017-11-22 20:49:04,0.9,10.0,36.1,129.34,2017-11-22,2017-11-22 11:49:08.535695934+00:00,2017-11-22 11:49:10.623987345+00:00
2017-11-22 19:00:59,1.4,7.0,36.12,129.38,2017-11-22,2017-11-22 10:01:03.819102159+00:00,2017-11-22 10:01:05.366241428+00:00
2017-11-22 15:52:43,1.4,11.0,36.09,129.33,2017-11-22,2017-11-22 06:52:47.543789022+00:00,2017-11-22 06:52:49.799967005+00:00
2017-11-22 15:35:53,1.1,6.0,36.08,129.33,2017-11-22,2017-11-22 06:35:57.340531336+00:00,2017-11-22 06:35:58.673137930+00:00
2017-11-22 15:01:08,1.2,8.0,36.12,129.36,2017-11-22,2017-11-22 06:01:12.579017714+00:00,2017-11-22 06:01:14.309696360+00:00
2017-11-22 14:25:41,1.2,5.0,36.11,129.36,2017-11-22,2017-11-22 05:25:45.506087961+00:00,2017-11-22 05:25:46.637790377+00:00
2017-11-22 13:05:56,1.1,8.0,36.09,129.34,2017-11-22,2017-11-22 04:06:00.487980862+00:00,2017-11-22 04:06:02.214072563+00:00
2017-11-22 12:56:35,0.6,10.0,36.1,129.34,2017-11-22,2017-11-22 03:56:39.535695934+00:00,2017-11-22 03:56:41.623987345+00:00
2017-11-22 12:43:31,1.5,10.0,36.09,129.34,2017-11-22,2017-11-22 03:43:35.605040065+00:00,2017-11-22 03:43:37.698919674+00:00
2017-11-22 12:41:46,2.5,8.0,36.1,129.35,2017-11-22,2017-11-22 03:41:50.553896091+00:00,2017-11-22 03:41:52.283328439+00:00
2017-11-22 11:41:36,0.8,10.0,36.11,129.35,2017-11-22,2017-11-22 02:41:40.608859384+00:00,2017-11-22 02:41:42.703041347+00:00
2017-11-22 11:12:32,1.7,10.0,36.09,129.34,2017-11-22,2017-11-22 02:12:36.605040065+00:00,2017-11-22 02:12:38.698919674+00:00
2017-11-22 08:05:01,1.0,9.0,36.12,129.35,2017-11-22,2017-11-21 23:05:05.493589966+00:00,2017-11-21 23:05:07.403203872+00:00
2017-11-22 07:51:25,1.4,,36.08,129.34,2017-11-22,,
2017-11-22 06:47:09,1.2,11.0,36.1,129.35,2017-11-22,2017-11-21 21:47:13.735345889+00:00,2017-11-21 21:47:16.010570104+00:00
2017-11-22 06:33:59,1.4,11.0,36.1,129.34,2017-11-22,2017-11-21 21:34:03.603697169+00:00,2017-11-21 21:34:05.865859194+00:00
2017-11-22 04:57:51,1.0,5.0,36.11,129.36,2017-11-22,2017-11-21 19:57:55.506087961+00:00,2017-11-21 19:57:56.637790377+00:00
2017-11-22 04:05:19,1.2,10.0,36.12,129.36,2017-11-22,2017-11-21 19:05:23.693779482+00:00,2017-11-21 19:05:25.794543471+00:00
2017-11-22 03:08:44,1.0,,36.13,129.38,2017-11-22,,
2017-11-22 02:59:56,0.7,,36.1,129.36,2017-11-22,,
2017-11-22 01:44:32,0.8,,36.12,129.36,2017-11-22,,
2017-11-22 01:04:08,1.3,,36.13,129.35,2017-11-22,,
